Type,Title,Slug,URL,Quality Score,Word Count,Has Images,Has Video,Internal Links,External Links,Meta Description,Meta Description Length,Genres,Countries,Categories,Tags,Last Modified,Content Preview,Indexed,Impressions,Clicks,CTR,Position
series,"Where Was The Originals Filmed?",the-originals,https://wherewasitfilmed.co/series/the-originals,55,354,Yes,No,0,0,"Explore the real-world filming locations of The Originals, from New Orleans to various breathtaking sites across Louisiana.",123,"Drama; Fantasy; Horror","","","",2025-05-24T23:18:00.794Z,"Explore the real-world filming locations of The Originals, from New Orleans to various breathtaking sites across Louisiana.",No,0,0,0,0
series,"Where Was Game of Thrones Filmed?",game-of-thrones,https://wherewasitfilmed.co/series/game-of-thrones,55,247,Yes,No,0,0,"Explore the real-world filming locations of Game of Thrones, from the icy realms of Winterfell to the sun-soaked streets of Dubrovnik.",134,"Fantasy; Drama; Adventure","","","",2025-05-24T23:18:00.795Z,"Explore the real-world filming locations of Game of Thrones, from the icy realms of Winterfell to the sun-soaked streets of Dubrovnik.",No,0,0,0,0
series,"Where Was The Walking Dead Filmed?",the-walking-dead,https://wherewasitfilmed.co/series/the-walking-dead,55,301,Yes,No,0,0,"Explore the real-world filming locations of The Walking Dead, from the post-apocalyptic streets of Alexandria to the picturesque settings of Georgia.",149,"Drama; Horror; Thriller","","","",2025-05-24T23:18:00.795Z,"Explore the real-world filming locations of The Walking Dead, from the post-apocalyptic streets of Alexandria to the picturesque settings of Georgia.",No,0,0,0,0
series,"Where Was Parks and Recreation Filmed?",parks-and-recreation,https://wherewasitfilmed.co/series/parks-and-recreation,55,280,Yes,No,0,0,"Explore the real-world filming locations of Parks and Recreation, from Pawnee to various filming locations across California.",125,"Comedy; Mockumentary; Sitcom","","","",2025-05-24T23:18:00.795Z,"Explore the real-world filming locations of Parks and Recreation, from Pawnee to various filming locations across California.",No,0,0,0,0
series,"Where Was Heroes Filmed?",heroes,https://wherewasitfilmed.co/series/heroes,55,229,Yes,No,0,0,"Explore the real-world filming locations of Heroes, from the thrilling lives of ordinary people to the stunning landscapes of the United States.",144,"Drama; Science Fiction; Thriller","","","",2025-05-24T23:18:00.795Z,"Explore the real-world filming locations of Heroes, from the thrilling lives of ordinary people to the stunning landscapes of the United States.",No,0,0,0,0
series,"Where Was Prison Break Filmed?",prison-break,https://wherewasitfilmed.co/series/prison-break,55,273,Yes,No,0,0,"Explore the real-world filming locations of Prison Break, from the gritty confines of Fox River State Penitentiary to stunning scenes around Chicago.",149,"Drama; Crime; Thriller","","","",2025-05-24T23:18:00.795Z,"Explore the real-world filming locations of Prison Break, from the gritty confines of Fox River State Penitentiary to stunning scenes around Chicago.",No,0,0,0,0
series,"Where Was Supernatural Filmed?",supernatural,https://wherewasitfilmed.co/series/supernatural,55,248,Yes,No,0,0,"Explore the real-world filming locations of Supernatural, from the eerie landscapes of the Otherworld to the enchanting streets of Vancouver.",141,"Fantasy; Horror; Drama","","","",2025-05-24T23:18:00.795Z,"Explore the real-world filming locations of Supernatural, from the eerie landscapes of the Otherworld to the enchanting streets of Vancouver.",No,0,0,0,0
series,"Where Was Smallville Filmed?",smallville,https://wherewasitfilmed.co/series/smallville,55,280,Yes,No,0,0,"Explore the real-world filming locations of Smallville, from the small-town charm of Kansas to the stunning landscapes of British Columbia.",139,"Action; Drama; Fantasy","","","",2025-05-24T23:18:00.796Z,"Explore the real-world filming locations of Smallville, from the small-town charm of Kansas to the stunning landscapes of British Columbia.",No,0,0,0,0
series,"Where Was The Sopranos Filmed?",the-sopranos,https://wherewasitfilmed.co/series/the-sopranos,55,306,Yes,No,0,0,"Explore the real-world filming locations of The Sopranos, from the fictional world of New Jersey mafia to actual filming locations throughout the Northeast.",156,"Crime; Drama; Thriller","","","",2025-05-24T23:18:00.796Z,"Explore the real-world filming locations of The Sopranos, from the fictional world of New Jersey mafia to actual filming locations throughout the Northeast.",No,0,0,0,0
series,"Where Was Fargo Filmed?",fargo,https://wherewasitfilmed.co/series/fargo,55,214,Yes,No,0,0,"Explore the real-world filming locations of Fargo, from the chilly landscapes of Minnesota to the picturesque towns that set the scene for this iconic film.",156,"Crime; Drama; Thriller","","","",2025-05-24T23:18:00.796Z,"Explore the real-world filming locations of Fargo, from the chilly landscapes of Minnesota to the picturesque towns that set the scene for this iconic film.",No,0,0,0,0
blog,"Exploring Movie Filming Locations Across Genres: A Film Fan's Travel Guide",filming-locations-by-genre,https://wherewasitfilmed.co/blog/filming-locations-by-genre,55,566,No,No,0,23,"From romance to horror, visit real filming locations from your favorite movie genres around the world.",102,"","","Film Tourism; Movie Genres","",2025-05-24T23:18:00.798Z,"From romance to horror, visit real filming locations from your favorite movie genres around the world.",No,0,0,0,0
film,"Where Was The Dark Knight Filmed?",where-was-dark-knight-filmed,https://wherewasitfilmed.co/film/where-was-dark-knight-filmed,50,317,Yes,No,0,0,"Explore the real filming locations of Christopher Nolan's The Dark Knight across Chicago, London, and Hong Kong.",112,"","","","",2025-05-24T23:18:00.787Z,"Explore the real filming locations of Christopher Nolan's The Dark Knight across Chicago, London, and Hong Kong.",No,0,0,0,0
series,"Where Was The Walking Dead: Daryl Dixon Filmed?",the-walking-dead-daryl-dixon,https://wherewasitfilmed.co/series/the-walking-dead-daryl-dixon,50,265,Yes,No,0,0,"Explore the real-world filming locations of The Walking Dead: Daryl Dixon, from the haunting landscapes of post-apocalyptic France to breathtaking sites across Europe.",167,"Drama; Horror; Thriller","","","",2025-05-24T23:18:00.791Z,"Explore the real-world filming locations of The Walking Dead: Daryl Dixon, from the haunting landscapes of post-apocalyptic France to breathtaking sites across Europe.",No,0,0,0,0
series,"Where Was 1899 Filmed?",1899,https://wherewasitfilmed.co/series/1899,50,262,Yes,No,0,0,"Explore the real-world filming locations of 1899, from a haunting ship voyage to the eerie landscapes of Europe.",112,"Drama; Mystery; Thriller","","","",2025-05-24T23:18:00.791Z,"Explore the real-world filming locations of 1899, from a haunting ship voyage to the eerie landscapes of Europe.",No,0,0,0,0
series,"Where Was 1923 Filmed?",1923,https://wherewasitfilmed.co/series/1923,50,239,Yes,No,0,0,"Explore the real-world filming locations of 1923, from the American West to the stunning landscapes of Montana.",111,"Western; Drama; Historical","","","",2025-05-24T23:18:00.791Z,"Explore the real-world filming locations of 1923, from the American West to the stunning landscapes of Montana.",No,0,0,0,0
series,"Where Was House of the Dragon Filmed?",house-of-the-dragon,https://wherewasitfilmed.co/series/house-of-the-dragon,50,300,Yes,No,0,0,"Explore the real-world filming locations of House of the Dragon, from Westeros to incredible landscapes across Europe.",118,"Fantasy; Drama; Adventure","","","",2025-05-24T23:18:00.791Z,"Explore the real-world filming locations of House of the Dragon, from Westeros to incredible landscapes across Europe.",No,0,0,0,0
series,"Where Was Ms. Marvel Filmed?",ms-marvel,https://wherewasitfilmed.co/series/ms-marvel,50,288,Yes,No,0,0,"Explore the real-world filming locations of Ms. Marvel, from Jersey City to various picturesque locations in the UK.",116,"Action; Adventure; Superhero","","","",2025-05-24T23:18:00.791Z,"Explore the real-world filming locations of Ms. Marvel, from Jersey City to various picturesque locations in the UK.",No,0,0,0,0
series,"Where Was She-Hulk Filmed?",she-hulk,https://wherewasitfilmed.co/series/she-hulk,50,242,Yes,No,0,0,"Explore the real-world filming locations of She-Hulk, from the courtroom to the city streets of Los Angeles.",108,"Action; Comedy; Superhero","","","",2025-05-24T23:18:00.792Z,"Explore the real-world filming locations of She-Hulk, from the courtroom to the city streets of Los Angeles.",No,0,0,0,0
series,"Where Was The Sandman Filmed?",the-sandman,https://wherewasitfilmed.co/series/the-sandman,50,291,Yes,No,0,0,"Explore the real-world filming locations of The Sandman, from the Dream World to actual filming sites in the UK.",112,"Fantasy; Drama; Thriller","","","",2025-05-24T23:18:00.792Z,"Explore the real-world filming locations of The Sandman, from the Dream World to actual filming sites in the UK.",No,0,0,0,0
series,"Where Was Wednesday Filmed?",wednesday,https://wherewasitfilmed.co/series/wednesday,50,257,Yes,No,0,0,"Explore the real-world filming locations of Wednesday, from Nevermore Academy to its actual filming spots.",106,"Fantasy; Comedy; Mystery","","","",2025-05-24T23:18:00.792Z,"Explore the real-world filming locations of Wednesday, from Nevermore Academy to its actual filming spots.",No,0,0,0,0
series,"Where Was Hawkeye Filmed?",hawkeye,https://wherewasitfilmed.co/series/hawkeye,50,258,Yes,No,0,0,"Explore the real-world filming locations of Hawkeye, from the streets of New York to iconic spots in Atlanta.",109,"Action; Adventure; Drama","","","",2025-05-24T23:18:00.792Z,"Explore the real-world filming locations of Hawkeye, from the streets of New York to iconic spots in Atlanta.",No,0,0,0,0
series,"Where Was Loki Filmed?",loki,https://wherewasitfilmed.co/series/loki,50,249,Yes,No,0,0,"Explore the real-world filming locations of Loki, from the mystical TVA to the stunning landscapes of Georgia.",110,"Action; Adventure; Fantasy","","","",2025-05-24T23:18:00.792Z,"Explore the real-world filming locations of Loki, from the mystical TVA to the stunning landscapes of Georgia.",No,0,0,0,0
series,"Where Was What If...? Filmed?",what-if,https://wherewasitfilmed.co/series/what-if,50,238,Yes,No,0,0,"Explore the real-world filming locations of What If...?, from alternate realities to actual filming locations.",110,"Animation; Action; Adventure","","","",2025-05-24T23:18:00.792Z,"Explore the real-world filming locations of What If...?, from alternate realities to actual filming locations.",No,0,0,0,0
series,"Where Was Lupin Filmed?",lupin,https://wherewasitfilmed.co/series/lupin,50,253,Yes,No,0,0,"Explore the real-world filming locations of Lupin, from the streets of Paris to the stunning landscapes of France.",114,"Crime; Drama; Thriller","","","",2025-05-24T23:18:00.792Z,"Explore the real-world filming locations of Lupin, from the streets of Paris to the stunning landscapes of France.",No,0,0,0,0
series,"Where Was Squid Game Filmed?",squid-game,https://wherewasitfilmed.co/series/squid-game,50,276,Yes,No,0,0,"Explore the real-world filming locations of Squid Game, from the dystopian playground to iconic Seoul venues.",109,"Drama; Thriller; Mystery","","","",2025-05-24T23:18:00.792Z,"Explore the real-world filming locations of Squid Game, from the dystopian playground to iconic Seoul venues.",No,0,0,0,0
series,"Where Was The Boys Filmed?",the-boys,https://wherewasitfilmed.co/series/the-boys,50,286,Yes,No,0,0,"Explore the real-world filming locations of The Boys, from the streets of a corrupt superhero metropolis to iconic establishments that brought the gritty series to life.",169,"Action; Drama; Sci-Fi","","","",2025-05-24T23:18:00.792Z,"Explore the real-world filming locations of The Boys, from the streets of a corrupt superhero metropolis to iconic establishments that brought the gritty series to life.",No,0,0,0,0
series,"Where Was The Flash Filmed?",the-flash,https://wherewasitfilmed.co/series/the-flash,50,286,Yes,No,0,0,"Explore the real-world filming locations of The Flash, from Central City to various vibrant locations across Canada.",116,"Action; Adventure; Drama","","","",2025-05-24T23:18:00.793Z,"Explore the real-world filming locations of The Flash, from Central City to various vibrant locations across Canada.",No,0,0,0,0
series,"Where Was The Morning Show Filmed?",the-morning-show,https://wherewasitfilmed.co/series/the-morning-show,50,282,Yes,No,0,0,"Explore the real-world filming locations of The Morning Show, from the bustling news studio to iconic city spots.",113,"Drama; Comedy; Thriller","","","",2025-05-24T23:18:00.793Z,"Explore the real-world filming locations of The Morning Show, from the bustling news studio to iconic city spots.",No,0,0,0,0
series,"Where Was WandaVision Filmed?",wandavision,https://wherewasitfilmed.co/series/wandavision,50,286,Yes,No,0,0,"Explore the real-world filming locations of WandaVision, from Westview to various Los Angeles locations.",104,"Action; Drama; Fantasy","","","",2025-05-24T23:18:00.793Z,"Explore the real-world filming locations of WandaVision, from Westview to various Los Angeles locations.",No,0,0,0,0
series,"Where Was Chernobyl Filmed?",chernobyl,https://wherewasitfilmed.co/series/chernobyl,50,227,Yes,No,0,0,"Explore the real-world filming locations of Chernobyl, from the haunting atmosphere of the nuclear disaster to the authentic settings that brought the tragedy to life.",167,"Drama; History; Miniseries","","","",2025-05-24T23:18:00.793Z,"Explore the real-world filming locations of Chernobyl, from the haunting atmosphere of the nuclear disaster to the authentic settings that brought the tragedy to life.",No,0,0,0,0
series,"Where Was Legacies Filmed?",legacies,https://wherewasitfilmed.co/series/legacies,50,317,Yes,No,0,0,"Explore the real-world filming locations of Legacies, from Mystic Falls to Georgia's enchanting landscapes.",107,"Fantasy; Drama; Horror","","","",2025-05-24T23:18:00.793Z,"Explore the real-world filming locations of Legacies, from Mystic Falls to Georgia's enchanting landscapes.",No,0,0,0,0
series,"Where Was Titans Filmed?",titans,https://wherewasitfilmed.co/series/titans,50,236,Yes,No,0,0,"Explore the real-world filming locations of Titans, from dystopian landscapes to stunning urban settings.",105,"Action; Adventure; Drama","","","",2025-05-24T23:18:00.793Z,"Explore the real-world filming locations of Titans, from dystopian landscapes to stunning urban settings.",No,0,0,0,0
series,"Where Was Dark Filmed?",dark,https://wherewasitfilmed.co/series/dark,50,279,Yes,No,0,0,"Explore the real-world filming locations of Dark, from Winden to the picturesque landscapes of Germany.",103,"Drama; Mystery; Science Fiction","","","",2025-05-24T23:18:00.793Z,"Explore the real-world filming locations of Dark, from Winden to the picturesque landscapes of Germany.",No,0,0,0,0
series,"Where Was Money Heist Filmed?",money-heist,https://wherewasitfilmed.co/series/money-heist,50,296,Yes,No,0,0,"Explore the real-world filming locations of Money Heist, from the streets of Madrid to iconic locations across Spain.",117,"Drama; Thriller; Heist","","","",2025-05-24T23:18:00.793Z,"Explore the real-world filming locations of Money Heist, from the streets of Madrid to iconic locations across Spain.",No,0,0,0,0
series,"Where Was The Defenders Filmed?",the-defenders,https://wherewasitfilmed.co/series/the-defenders,50,277,Yes,No,0,0,"Explore the real-world filming locations of The Defenders, from New York City to various iconic spots in the city.",114,"Action; Adventure; Superhero","","","",2025-05-24T23:18:00.793Z,"Explore the real-world filming locations of The Defenders, from New York City to various iconic spots in the city.",No,0,0,0,0
series,"Where Was The Crown Filmed?",the-crown,https://wherewasitfilmed.co/series/the-crown,50,295,Yes,No,0,0,"Explore the real-world filming locations of The Crown, from Buckingham Palace to stunning British landscapes.",109,"Drama; Biography; History","","","",2025-05-24T23:18:00.794Z,"Explore the real-world filming locations of The Crown, from Buckingham Palace to stunning British landscapes.",No,0,0,0,0
series,"Where Was Better Call Saul Filmed?",better-call-saul,https://wherewasitfilmed.co/series/better-call-saul,50,292,Yes,No,0,0,"Explore the real-world filming locations of Better Call Saul, from Albuquerque to New Mexico’s stunning landscapes.",115,"Drama; Crime; Thriller","","","",2025-05-24T23:18:00.794Z,"Explore the real-world filming locations of Better Call Saul, from Albuquerque to New Mexico’s stunning landscapes.",No,0,0,0,0
series,"Where Was Narcos Filmed?",narcos,https://wherewasitfilmed.co/series/narcos,50,261,Yes,No,0,0,"Explore the real-world filming locations of Narcos, from Colombia to the captivating landscapes of Mexico.",106,"Crime; Drama; Biography","","","",2025-05-24T23:18:00.794Z,"Explore the real-world filming locations of Narcos, from Colombia to the captivating landscapes of Mexico.",No,0,0,0,0
series,"Where Was The Last Kingdom Filmed?",the-last-kingdom,https://wherewasitfilmed.co/series/the-last-kingdom,50,325,Yes,No,0,0,"Explore the real-world filming locations of The Last Kingdom, from the Dark Ages to historic England.",101,"Action; Drama; History","","","",2025-05-24T23:18:00.794Z,"Explore the real-world filming locations of The Last Kingdom, from the Dark Ages to historic England.",No,0,0,0,0
series,"Where Was True Detective Filmed?",true-detective,https://wherewasitfilmed.co/series/true-detective,50,276,Yes,No,0,0,"Explore the real-world filming locations of True Detective, from Louisiana's swamps to the streets of California.",113,"Crime; Drama; Mystery","","","",2025-05-24T23:18:00.794Z,"Explore the real-world filming locations of True Detective, from Louisiana's swamps to the streets of California.",No,0,0,0,0
series,"Where Was Agents of S.H.I.E.L.D. Filmed?",agents-of-shield,https://wherewasitfilmed.co/series/agents-of-shield,50,238,Yes,No,0,0,"Explore the real-world filming locations of Agents of S.H.I.E.L.D., from the fictional S.H.I.E.L.D. headquarters to actual filming locations across various settings.",165,"Action; Adventure; Sci-Fi","","","",2025-05-24T23:18:00.794Z,"Explore the real-world filming locations of Agents of S.H.I.E.L.D., from the fictional S.H.I.E.L.D. headquarters to actual filming locations across various settings.",No,0,0,0,0
series,"Where Was Brooklyn Nine-Nine Filmed?",brooklyn-nine-nine,https://wherewasitfilmed.co/series/brooklyn-nine-nine,50,254,Yes,No,0,0,"Explore the real-world filming locations of Brooklyn Nine-Nine, from the precinct to Brooklyn and beyond.",105,"Comedy; Crime; Sitcom","","","",2025-05-24T23:18:00.794Z,"Explore the real-world filming locations of Brooklyn Nine-Nine, from the precinct to Brooklyn and beyond.",No,0,0,0,0
series,"Where Was Vikings Filmed?",vikings,https://wherewasitfilmed.co/series/vikings,50,252,Yes,No,0,0,"Explore the real-world filming locations of Vikings, from the legendary Norse lands to the stunning scenery of Ireland.",119,"Action; Drama; History","","","",2025-05-24T23:18:00.794Z,"Explore the real-world filming locations of Vikings, from the legendary Norse lands to the stunning scenery of Ireland.",No,0,0,0,0
series,"Where Was Black Mirror Filmed?",black-mirror,https://wherewasitfilmed.co/series/black-mirror,50,271,Yes,No,0,0,"Explore the real-world filming locations of Black Mirror, from dystopian futures to stunning landscapes.",104,"Drama; Science Fiction; Thriller","","","",2025-05-24T23:18:00.795Z,"Explore the real-world filming locations of Black Mirror, from dystopian futures to stunning landscapes.",No,0,0,0,0
series,"Where Was The Vampire Diaries Filmed?",the-vampire-diaries,https://wherewasitfilmed.co/series/the-vampire-diaries,50,293,Yes,No,0,0,"Explore the real-world filming locations of The Vampire Diaries, from Mystic Falls to Georgia's picturesque landscapes.",119,"Drama; Fantasy; Horror","","","",2025-05-24T23:18:00.795Z,"Explore the real-world filming locations of The Vampire Diaries, from Mystic Falls to Georgia's picturesque landscapes.",No,0,0,0,0
series,"Where Was Breaking Bad Filmed?",breaking-bad,https://wherewasitfilmed.co/series/breaking-bad,50,290,Yes,No,0,0,"Explore the real-world filming locations of Breaking Bad, from Albuquerque to iconic spots across New Mexico.",109,"Crime; Drama; Thriller","","","",2025-05-24T23:18:00.795Z,"Explore the real-world filming locations of Breaking Bad, from Albuquerque to iconic spots across New Mexico.",No,0,0,0,0
series,"Where Was Dexter Filmed?",dexter,https://wherewasitfilmed.co/series/dexter,50,247,Yes,No,0,0,"Explore the real-world filming locations of Dexter, from Miami's sunny streets to the hidden gems of the city.",110,"Crime; Drama; Thriller","","","",2025-05-24T23:18:00.795Z,"Explore the real-world filming locations of Dexter, from Miami's sunny streets to the hidden gems of the city.",No,0,0,0,0
series,"Where Was Lost Filmed?",lost,https://wherewasitfilmed.co/series/lost,50,236,Yes,No,0,0,"Explore the real-world filming locations of Lost, from the mysterious island to the stunning landscapes of Hawaii.",114,"Drama; Science Fiction; Thriller","","","",2025-05-24T23:18:00.796Z,"Explore the real-world filming locations of Lost, from the mysterious island to the stunning landscapes of Hawaii.",No,0,0,0,0
series,"Where Was The Wire Filmed?",the-wire,https://wherewasitfilmed.co/series/the-wire,50,316,Yes,No,0,0,"Explore the real-world filming locations of The Wire, from Baltimore's streets to iconic spots across the city.",111,"Crime; Drama; Thriller","","","",2025-05-24T23:18:00.796Z,"Explore the real-world filming locations of The Wire, from Baltimore's streets to iconic spots across the city.",No,0,0,0,0
series,"Where Was 24 Filmed?",24,https://wherewasitfilmed.co/series/24,50,304,Yes,No,0,0,"Explore the real-world filming locations of 24, from Los Angeles to various iconic spots around the globe.",106,"Action; Drama; Thriller","","","",2025-05-24T23:18:00.796Z,"Explore the real-world filming locations of 24, from Los Angeles to various iconic spots around the globe.",No,0,0,0,0
film,"Where Was Inception Filmed?",where-was-inception-filmed,https://wherewasitfilmed.co/film/where-was-inception-filmed,45,225,Yes,No,0,0,"Explore the real-world locations behind Christopher Nolan's mind-bending sci-fi thriller Inception, from Paris to Tangier and beyond.",133,"","","","",2025-05-24T23:18:00.787Z,"Explore the real-world locations behind Christopher Nolan's mind-bending sci-fi thriller Inception, from Paris to Tangier and beyond.",No,0,0,0,0
film,"Where Was The Grand Budapest Hotel Filmed?",where-was-the-grand-budapest-hotel-filmed,https://wherewasitfilmed.co/film/where-was-the-grand-budapest-hotel-filmed,45,218,Yes,No,0,0,"Explore the real-world locations behind The Grand Budapest Hotel, from Saxony's Görlitz department store to the Czech Republic's snowy mountains.",145,"","","","",2025-05-24T23:18:00.791Z,"Explore the real-world locations behind The Grand Budapest Hotel, from Saxony's Görlitz department store to the Czech Republic's snowy mountains.",No,0,0,0,0
series,"Where Was Berlin Filmed?",berlin,https://wherewasitfilmed.co/series/berlin,45,232,Yes,No,0,0,"Explore the real-world filming locations of Berlin, from its vibrant streets to iconic landmarks.",97,"Drama; Thriller; Action","","","",2025-05-24T23:18:00.791Z,"Explore the real-world filming locations of Berlin, from its vibrant streets to iconic landmarks.",No,0,0,0,0
series,"Where Was Moon Knight Filmed?",moon-knight,https://wherewasitfilmed.co/series/moon-knight,45,292,Yes,No,0,0,"Explore the real-world filming locations of Moon Knight, from Cairo to Budapest and beyond.",91,"Action; Adventure; Superhero","","","",2025-05-24T23:18:00.791Z,"Explore the real-world filming locations of Moon Knight, from Cairo to Budapest and beyond.",No,0,0,0,0
series,"Where Was Barry Filmed?",barry,https://wherewasitfilmed.co/series/barry,45,285,Yes,No,0,0,"Explore the real-world filming locations of Barry, from Hollywood to Los Angeles.",81,"Comedy; Drama; Crime","","","",2025-05-24T23:18:00.793Z,"Explore the real-world filming locations of Barry, from Hollywood to Los Angeles.",No,0,0,0,0
series,"Where Was Big Little Lies Filmed?",big-little-lies,https://wherewasitfilmed.co/series/big-little-lies,45,239,Yes,No,0,0,"Explore the real-world filming locations of Big Little Lies, from Monterey to Malibu.",85,"Drama; Mystery; Thriller","","","",2025-05-24T23:18:00.793Z,"Explore the real-world filming locations of Big Little Lies, from Monterey to Malibu.",No,0,0,0,0
series,"Where Was The Punisher Filmed?",the-punisher,https://wherewasitfilmed.co/series/the-punisher,45,286,Yes,No,0,0,"Explore the real-world filming locations of The Punisher, from Hell's Kitchen to New York City.",95,"Action; Crime; Drama","","","",2025-05-24T23:18:00.793Z,"Explore the real-world filming locations of The Punisher, from Hell's Kitchen to New York City.",No,0,0,0,0
series,"Where Was Luke Cage Filmed?",luke-cage,https://wherewasitfilmed.co/series/luke-cage,45,272,Yes,No,0,0,"Explore the real-world filming locations of Luke Cage, from Harlem to New York City.",84,"Action; Drama; Sci-Fi","","","",2025-05-24T23:18:00.794Z,"Explore the real-world filming locations of Luke Cage, from Harlem to New York City.",No,0,0,0,0
series,"Where Was Daredevil Filmed?",daredevil,https://wherewasitfilmed.co/series/daredevil,45,256,Yes,No,0,0,"Explore the real-world filming locations of Daredevil, from Hell's Kitchen to New York City.",92,"Action; Crime; Drama","","","",2025-05-24T23:18:00.794Z,"Explore the real-world filming locations of Daredevil, from Hell's Kitchen to New York City.",No,0,0,0,0
series,"Where Was Arrow Filmed?",arrow,https://wherewasitfilmed.co/series/arrow,45,229,Yes,No,0,0,"Explore the real-world filming locations of Arrow, from Star City to Vancouver, Canada.",87,"Action; Adventure; Drama","","","",2025-05-24T23:18:00.794Z,"Explore the real-world filming locations of Arrow, from Star City to Vancouver, Canada.",No,0,0,0,0
series,"Where Was Game of Thrones Filmed?",where-was-game-of-thrones-filmed,https://wherewasitfilmed.co/series/where-was-game-of-thrones-filmed,45,316,Yes,No,0,0,"Discover the breathtaking filming locations that brought the Seven Kingdoms to life in HBO's epic fantasy series Game of Thrones.",129,"Fantasy; Drama; Adventure","","","",2025-05-24T23:18:00.795Z,"Discover the breathtaking filming locations that brought the Seven Kingdoms to life in HBO's epic fantasy series Game of Thrones.",No,0,0,0,0
series,"Where Was Boardwalk Empire Filmed?",boardwalk-empire,https://wherewasitfilmed.co/series/boardwalk-empire,45,259,Yes,No,0,0,"Explore the real-world filming locations of Boardwalk Empire, from Atlantic City to New York City.",98,"Crime; Drama; Historical","","","",2025-05-24T23:18:00.795Z,"Explore the real-world filming locations of Boardwalk Empire, from Atlantic City to New York City.",No,0,0,0,0
blog,"How to Plan the Perfect Filming Location Vacation",how-to-plan-a-filming-location-vacation,https://wherewasitfilmed.co/blog/how-to-plan-a-filming-location-vacation,45,932,No,No,0,0,"Learn how to create an unforgettable trip by visiting the real-world locations of your favorite movies and TV shows with these expert tips.",139,"","","Travel Guides; Planning Tips; Movie Tourism","",2025-05-24T23:18:00.798Z,"Learn how to create an unforgettable trip by visiting the real-world locations of your favorite movies and TV shows with these expert tips.",No,0,0,0,0
blog,"10 Legendary Movie Car Chase Locations You Can Visit",car-chase-locations,https://wherewasitfilmed.co/blog/car-chase-locations,45,912,No,No,0,0,"Discover the real streets and roads where Hollywood's most iconic car chases were filmed, from San Francisco's hills to Paris's historic center.",144,"","","Travel Guides; Action Movies; Filming Locations","",2025-05-24T23:18:00.798Z,"Discover the real streets and roads where Hollywood's most iconic car chases were filmed, from San Francisco's hills to Paris's historic center.",No,0,0,0,0
blog,"10 Iconic Movie Filming Locations in Chicago You Can Visit",best-filming-locations-in-chicago,https://wherewasitfilmed.co/blog/best-filming-locations-in-chicago,45,699,No,No,0,0,"Discover the most famous filming locations in Chicago from blockbuster movies like The Dark Knight, Ferris Bueller's Day Off, and The Blues Brothers.",149,"","","Travel Guides; Chicago; Movie Locations","",2025-05-24T23:18:00.798Z,"Discover the most famous filming locations in Chicago from blockbuster movies like The Dark Knight, Ferris Bueller's Day Off, and The Blues Brothers.",No,0,0,0,0
film,"Film Nonnas: Charming 1970s Italian Filming Locations & Veneto's Cinematic Allure",where-was-nonnas-filmed,https://wherewasitfilmed.co/film/where-was-nonnas-filmed,40,516,Yes,No,0,2,"Journey to 1970s Italy and discover the enchanting Film Nonnas filming locations in Treviso. Explore Veneto, a region beloved by filmmakers, also home to scenes from 'The Merchant of Venice'.",191,"","","","",2025-05-24T23:18:00.789Z,"Journey to 1970s Italy and discover the enchanting Film Nonnas filming locations in Treviso. Explore Veneto, a region beloved by filmmakers, also home to scenes from 'The Merchant of Venice'.",No,0,0,0,0
film,"Where Was The Rose of Versailles Filmed?",where-was-the-rose-of-versailles-filmed,https://wherewasitfilmed.co/film/where-was-the-rose-of-versailles-filmed,40,270,Yes,No,0,0,"Explore the majestic filming locations of The Rose of Versailles (1979), bringing the opulent French Revolution era to life across stunning historical sites.",157,"","","","",2025-05-24T23:18:00.789Z,"Explore the majestic filming locations of The Rose of Versailles (1979), bringing the opulent French Revolution era to life across stunning historical sites.",No,0,0,0,0
film,"Where Was Aquaman and the Lost Kingdom Filmed?",where-was-aquaman-and-the-lost-kingdom-filmed,https://wherewasitfilmed.co/film/where-was-aquaman-and-the-lost-kingdom-filmed,40,236,Yes,No,0,0,"Dive deep into the mesmerizing filming locations of Aquaman and the Lost Kingdom, where stunning underwater visuals and breathtaking landscapes come alive.",155,"","","","",2025-05-24T23:18:00.789Z,"Dive deep into the mesmerizing filming locations of Aquaman and the Lost Kingdom, where stunning underwater visuals and breathtaking landscapes come alive.",No,0,0,0,0
film,"Where Was E.T. the Extra-Terrestrial Filmed?",where-was-et-the-extra-terrestrial-filmed,https://wherewasitfilmed.co/film/where-was-et-the-extra-terrestrial-filmed,40,201,Yes,No,0,0,"Discover the enchanting filming locations of E.T. the Extra-Terrestrial, where Spielberg brought to life a heartwarming tale of friendship and adventure.",153,"","","","",2025-05-24T23:18:00.789Z,"Discover the enchanting filming locations of E.T. the Extra-Terrestrial, where Spielberg brought to life a heartwarming tale of friendship and adventure.",No,0,0,0,0
